angry; angry, intense, chaotic
angry2; anger, frustration, intensity
angry3; anger, rage, aggression
angry4; anger, rage, frustration
astonished; energetic, chaotic, intense
curious; energetic, vibrant, dynamic
dangerous; intense, aggressive, chaotic
elegance; calm, reflective, soothing
envious; conflicted, tense, chaotic
friendship; energetic, playful, vibrant
friendship2; energized, vibrant, dynamic
friendship3; connected, harmonious, warm
friendship4; connected, harmonious, warm
hateful; angry, intense, chaotic
hungry; intensity, passion, chaos
imperial; warmth, intensity, contemplation
joy; energetic, joyful, vibrant
joy2; energetic, warm, playful
joy3; energetic, vibrant, uplifting
joy4; energetic, vibrant, dynamic
love; love, warmth, passion
natural; calm, relaxed, soothing
outrageous; intense, chaotic, energetic
powerful; intense, aggressive, chaotic
sad; mysterious, somber, introspective
sad2; mysterious, eerie, somber
sad3; melancholy, somber, reflective
sad4; mysterious, eerie, somber
shame; melancholy, despair, isolation
sophisticated; calm, contemplative, neutral
stressed; angry, chaotic, intense
tired; melancholy, mystery, contemplation